Date,Open,High,Low,Close,Volume,SMA20,EMA20,MACD,MACD_signal,RSI,Predicted_Close
2000-01-03,237.5,251.7,237.5,251.7,4456424,,251.7,0.0,0.0,,270.06057672913056
2000-01-04,258.4,271.85,251.3,271.85,9487878,,253.61904761904762,1.607407407407436,0.32148148148148725,,283.0753390832449
2000-01-05,256.65,287.9,256.65,282.5,26833684,,256.3696145124717,3.698026801730549,0.9967905455312998,,297.29517823960066
2000-01-06,289.0,300.7,289.0,294.35,15682286,,259.9867940827125,6.239132859371352,2.0452590082993103,,310.4170302873728
2000-01-07,295.0,317.9,293.0,314.55,19870977,,265.18328988435894,9.770322701005966,3.5902717468406418,,303.76293872591236
2000-01-10,317.4,318.7,305.3,308.5,13417057,,269.3086908477533,11.942960637317867,5.2608095249360876,,284.66733105443905
2000-01-11,307.95,310.95,283.85,288.5,12544322,,271.1364345765387,11.913626135712548,6.59137284709138,,299.6148051790248
2000-01-12,289.0,305.0,282.15,301.7,12109507,,274.0472503311541,12.807866897865438,7.834671657246192,,307.0007479718804
2000-01-13,306.0,316.4,304.1,311.85,17076042,,277.6475122043775,14.172210892169119,9.102179504230778,,306.5163216449763
2000-01-14,309.5,321.65,309.5,316.3,13460592,,281.3287015182463,15.43462045018856,10.368667693422335,,304.7215870345484
2000-01-17,318.25,322.9,307.05,308.75,10729180,,283.9402537546038,15.645515454902522,11.424037245718374,,315.1212668400471
2000-01-18,309.0,318.95,305.55,314.2,10083321,,286.8221343494034,16.067207946289216,12.352671385832544,,308.6355995701819
2000-01-19,322.85,324.9,316.2,319.6,11481392,,289.9438358399364,16.64526094727546,13.211189298121129,,310.3558941208347
2000-01-20,320.0,324.9,310.55,312.85,15428711,,292.125375283752,16.370000353207388,13.84295150913838,,321.79600974870664
2000-01-21,312.7,328.4,312.0,326.35,17137072,,295.38486335196615,17.044710709955098,14.483303349301725,74.0263920173567,327.073574527509
2000-01-24,325.5,331.85,322.0,326.15,13163301,,298.3148763660646,17.36313380188045,15.059269439817472,70.05169866988126,313.38145691039466
2000-01-25,325.05,325.3,318.25,319.95,9752949,,300.3753643312013,16.9201532180399,15.431446195461959,64.2993508966016,326.0615966449545
2000-01-27,329.0,336.8,322.7,334.95,15014556,,303.66818677584877,17.576847595737036,15.860526475516975,65.13795674801494,338.5633435872868
2000-01-28,335.9,341.9,331.6,338.35,11734252,,306.9712166067203,18.162270853525513,16.320875351118683,60.144927535514036,329.0722857533396
2000-01-31,334.45,336.0,326.55,328.15,10191331,308.555,308.9882435965565,17.600283139786825,16.576756908852314,58.089748867177214,333.7700536484576
2000-02-01,330.8,337.45,328.0,334.05,10707804,312.6725,311.3750775397416,17.43006161888286,16.747417850858426,71.21564974289981,328.04205161254623
2000-02-02,342.9,346.9,338.55,340.15,9950848,316.0875,314.1155463454805,17.58467368519598,16.914869017725938,69.17705735564238,343.96329781083773
2000-02-03,342.0,343.5,336.4,341.65,6771527,319.04499999999996,316.7378752649586,17.625071472931893,17.056909508767127,66.26637554483867,338.19786617377025
2000-02-04,344.0,347.35,341.7,344.15,7106910,321.535,319.348553811153,17.65529684539814,17.176586976093333,65.53262688129672,340.3585894915347
2000-02-07,341.1,349.45,338.05,343.6,8193641,322.9875,321.65821535294793,17.433903084847202,17.228050197844105,71.0828796116211,345.8050977246591
2000-02-08,345.5,346.9,341.05,342.4,6430661,324.6825,323.63362341457196,16.966042980884538,17.175648754452194,67.98469387633696,353.2796153708617
2000-02-09,349.0,354.65,344.8,350.4,11436821,327.77750000000003,326.1828021369937,17.044317338396525,17.14938247124106,69.01234567781948,353.5378082271717
2000-02-10,348.8,363.8,344.9,355.75,10792579,330.48,328.99872574299434,17.338186794129342,17.187143335818718,76.94723617955111,366.27603492356127
2000-02-11,364.0,374.0,360.05,363.3,8155627,333.0525,332.2655137674711,17.97311942418645,17.344338553492264,75.08486082681435,351.897655548541
2000-02-14,359.0,360.9,350.0,352.1,5127399,334.8425,334.1545124562833,17.372304596747483,17.349931762143306,65.3278204360135,345.1235008468859
2000-02-15,352.0,354.4,342.05,344.35,8124337,336.6225,335.1255112699707,16.085372129702762,17.097019835655196,64.15313224953812,352.2997304359833
2000-02-16,350.0,353.8,343.1,348.15,7876392,338.32,336.3659387680687,15.196916525839242,16.716999173692006,58.79999999890238,350.7169061119745
2000-02-17,347.7,356.8,347.5,354.55,7670820,340.0675,338.09775412349074,14.838190152147433,16.34123736938309,60.384615383531546,347.30231866653014
2000-02-18,356.9,357.95,348.0,349.45,5030667,341.8975,339.178920397444,13.981202934558098,15.869230482418093,64.60905349670162,342.28790112085676
2000-02-21,348.4,352.0,341.65,345.65,2944404,342.8625,339.79521369292553,12.847310351722513,15.264846456278978,58.19209039432951,326.5546408964699
2000-02-22,346.0,347.0,332.5,334.35,7192242,343.2725,339.27662191264693,10.911100375407159,14.394097240104614,46.18421052546506,329.3623330974708
2000-02-23,344.7,344.7,327.3,329.8,4831725,343.765,338.37408649239484,8.906820760055723,13.296641944094837,42.50474383226433,339.5477686261673
2000-02-24,332.9,340.7,329.3,336.75,5663873,343.85499999999996,338.2194115883572,7.789429941645835,12.195199543605037,45.56886227468509,323.1606606312063
2000-02-25,341.4,342.9,326.1,328.6,3912097,343.3675,337.3032771513708,6.175070412217735,10.991173717327577,41.76728869310127,328.49753262605043
2000-02-28,324.85,337.25,310.0,333.1,5026004,343.61499999999995,336.90296504171647,5.198862001272914,9.832711374116645,45.07415254170443,308.13522721848676
2000-02-29,337.9,342.85,306.45,310.85,9970107,342.45500000000004,334.42173027583874,2.599851286130672,8.38613935651945,31.79935572899663,322.76175955408615
2000-03-01,315.0,329.85,299.0,316.8,10765888,341.2875,332.7434702495684,1.008605269581949,6.91063253913195,32.173913043065966,292.32429374251285
2000-03-02,318.85,322.0,291.5,291.75,12536245,338.7925,328.8393302258,-2.2478821253731667,5.078929606230927,21.775147928753555,270.1633052082522
2000-03-03,286.1,286.1,268.45,268.45,4636776,335.0075,323.08796544239044,-6.63233370688647,2.736676943607448,19.877565718200714,254.26942527674117
2000-03-06,268.45,283.85,247.0,253.95,10430713,330.525,316.5033973050199,-11.148558351013548,-0.0403701153167515,18.95604395586166,244.66185164920302
2000-03-07,257.0,259.0,240.0,242.3,9560450,325.52,309.43640708549424,-15.489206623751159,-3.130137417003633,15.50993809044175,238.5158271862356
2000-03-08,246.9,250.5,230.0,232.95,7256376,319.6475,302.15198736306627,-19.459353200696512,-6.395980573742209,11.125319692995035,227.27994062285183
2000-03-09,235.9,242.4,224.15,231.3,5545792,313.425,295.4041790427742,-22.479731821372297,-9.612730823268226,11.376266753736985,222.3787044546244
2000-03-10,234.0,234.8,214.6,216.85,6597169,306.1025,287.9228286577481,-25.742652600290683,-12.838715178672718,10.635696821424872,211.61793427409444
2000-03-13,219.9,229.5,200.3,203.2,10765401,298.6575,279.8539878332006,-29.09459734046561,-16.089891611031298,10.485085869149245,214.9836796571941
2000-03-14,205.5,219.5,197.15,219.2,10106318,292.4,274.07741756337197,-30.112849232734106,-18.89448313537186,18.827508455319276,239.675811683216
2000-03-15,224.0,236.75,216.0,236.75,5711222,286.83000000000004,270.5224254144794,-29.167458558782215,-20.949078220053934,23.40425531897465,233.42927259709572
2000-03-16,239.5,247.8,230.1,234.85,10564295,280.845,267.1250515654814,-28.24594212125544,-22.408451000294235,24.209078404215163,237.10560658708934
2000-03-21,238.8,242.8,227.6,237.9,6838036,275.26750000000004,264.3417133211498,-26.958760386768603,-23.31851287758911,23.59955629488053,238.8908238380356
2000-03-22,245.0,248.5,241.2,243.4,4931613,270.15500000000003,262.3472644334213,-25.204315889529425,-23.695673479977174,29.379394680274345,245.17360707572848
2000-03-23,245.25,245.8,238.55,240.95,4286132,265.485,260.30942972547643,-23.737964036825986,-23.704131591346936,26.304279912297247,245.3817418975429
2000-03-24,239.2,242.95,237.65,240.6,2637850,261.025,258.43234118019296,-22.346514989416477,-23.432608270960845,31.104543775075385,271.45208542545174
2000-03-27,243.0,259.85,243.0,259.85,4141666,257.18,258.5673563058889,-19.46607468173761,-22.639301553116198,46.72505712059853,284.1155212239004
2000-03-28,263.1,280.65,263.1,280.65,7026761,254.78249999999997,260.67046522913756,-15.328224586755766,-21.177086159844112,59.7020348831135,276.10765662907227
2000-03-29,284.8,289.9,269.0,271.3,10277833,251.69249999999997,261.6828018739816,-12.657507565482177,-19.473170440971728,60.71692535044343,289.40931104601685
2000-03-30,269.0,293.0,258.3,293.0,17168324,250.8,264.66539217169765,-8.68976622328222,-17.31648959743383,70.33525228514414,314.36717686432354
2000-03-31,297.0,316.45,280.1,316.45,19704184,250.78249999999997,269.5972595839169,-3.611453021008458,-14.575482282148757,75.12540572378178,329.47361303934326
2000-04-03,327.65,333.7,318.1,328.6,21353020,252.625,275.21656819497247,1.377669322892757,-11.384851961140454,83.42805862927432,309.59529109119364
2000-04-04,326.0,326.0,302.35,302.35,13530488,254.32,277.800704557356,3.176808830816583,-8.472519802749046,77.5799721829841,298.05878940072216
2000-04-05,303.4,312.0,278.25,302.25,25186375,256.735,280.1292088852269,4.542210908753248,-5.869573660448587,75.34330179978346,324.4731995276068
2000-04-06,303.0,326.45,302.55,326.15,16239068,260.9275,284.51214137234814,7.466759990797641,-3.2023069301993417,76.26321974085329,353.7367878450701
2000-04-07,329.8,352.25,329.8,352.25,11686144,266.89250000000004,290.96336600355306,11.755033374270624,-0.21083886930534845,80.19547325045127,368.2506979517501
2000-04-10,369.9,380.0,359.5,364.55,22110719,273.555,297.9716168603575,15.962027810048369,3.023734466565395,81.09501595819528,354.40946021757514
2000-04-11,358.0,359.0,346.5,353.75,9759550,280.4,303.28384382603775,18.214664159332358,6.061920405118788,76.40583871688457,339.1024229989093
2000-04-12,357.0,360.0,334.4,337.95,17263869,287.1375,306.5853825092722,18.511576807240488,8.551851685543127,71.81736392217479,310.2184198336529
2000-04-13,331.1,331.1,310.95,310.95,225213,291.725,307.001060365532,16.379396382584616,10.117360624951425,64.12934324125413,301.2972886509636
2000-04-17,286.1,300.8,286.1,298.4,15931668,294.8075,306.18191175929087,13.521085264890303,10.798105552939202,57.95665634641428,307.7847692116845
2000-04-18,297.1,308.9,294.0,300.05,8775778,298.0675,305.59792016316794,11.259205212395955,10.890325484830552,54.347826086615484,314.2687398534461
2000-04-19,307.7,324.05,303.1,314.85,16293725,301.915,306.4790706238186,10.539393715855965,10.820139131035635,59.52745569860713,337.83998092210516
2000-04-20,313.0,340.05,309.25,337.75,19387991,306.6325,309.4572543739311,11.68211241553712,10.992533787935933,59.73884657199723,339.10291584159904
2000-04-24,346.0,360.6,323.0,336.95,17618258,311.4325,312.0756111002234,12.380457694027655,11.270118569154278,54.94929985477098,337.3648866297428
2000-04-25,322.3,339.5,311.65,332.05,15809540,316.005,313.9779338525831,12.395623280377492,11.49521951139892,50.863147360164085,358.7635313369517
2000-04-26,340.0,358.65,340.0,357.95,16998445,320.90999999999997,318.16574967614656,14.33234135195778,12.062643879510691,63.934837092283146,350.01250302952803
2000-04-27,360.8,366.0,338.3,345.65,29547592,324.15999999999997,320.78329732603737,14.705184953885862,12.591152094385727,60.250354274518884,353.17885323264966
2000-04-28,347.5,351.9,340.3,345.05,13426369,327.84749999999997,323.09441186641476,14.781855183842254,13.029292712277032,55.01592356647017,334.30758135620806
2000-05-02,348.0,354.65,325.25,329.15,16424665,329.65500000000003,323.67113454580385,13.405094193821185,13.104453008585862,43.51851851817661,324.8470589888023
2000-05-03,327.0,333.85,309.2,328.0,13760253,330.2325,324.08340744620347,12.081932800570314,12.899948966982754,39.06016162792766,332.92232627749075
2000-05-04,331.0,342.95,331.0,337.2,11327281,330.6625,325.3326067370412,11.64148518135022,12.648256209856248,44.998488969096414,334.106411818758
2000-05-05,338.5,341.55,328.1,335.35,11144621,332.31249999999994,326.2866441906563,11.016160292430186,12.321837026371036,49.14191419096503,314.9124804844119
2000-05-08,331.0,337.0,322.3,324.0,5891336,333.4,326.06886855345095,9.4952799915107,11.75652561939897,54.80309164463215,330.38646755212926
2000-05-09,321.5,331.85,318.4,328.35,6136642,333.51,326.28611916740806,8.542507334191896,11.113721962357555,61.731296513228195,326.6327610513292
2000-05-10,330.0,334.9,323.3,325.25,6652614,332.15999999999997,326.18744115146444,7.451389071800293,10.381255384246105,59.75987606441779,323.66664058710757
2000-05-11,324.05,324.05,314.0,316.75,6428965,329.77,325.2886372322774,5.833545543467324,9.471713416090347,50.77361563460029,317.2458163562168
2000-05-12,319.6,322.5,313.3,315.9,4135346,327.87749999999994,324.3944813053938,4.431718898266695,8.463714512525618,39.156327542880206,316.35146723798215
2000-05-15,312.05,324.7,306.5,319.5,5797353,326.955,323.92834022868965,3.570097237231721,7.484991057466839,41.57411878263445,325.38054729007223
2000-05-16,320.0,321.9,315.0,317.4,3133472,327.27750000000003,323.306593540243,2.6868312949710003,6.525359104967672,42.72952853538637,322.4305328269212
2000-05-17,320.9,328.4,316.25,318.85,7802567,328.3,322.88215606021987,2.0798641744536326,5.636260118864864,24.377457404533104,310.28420872296215
2000-05-18,318.0,319.75,307.1,310.1,5382755,328.8025,321.6648078640085,0.8826122803223484,4.685530551156361,25.567010308786408,310.83774181139273
2000-05-19,308.0,319.05,307.25,315.6,7967132,328.84000000000003,321.0872071150553,0.37328259369155603,3.8230809596634003,31.03670315462398,315.09643277039856
2000-05-22,313.0,316.9,309.0,312.45,3117749,327.575,320.26461596124057,-0.2813008655626277,3.002204594618195,37.13405238748867,324.3832472897785
2000-05-23,312.3,316.0,308.5,314.75,4169391,326.46500000000003,319.73941444112245,-0.60746966280675,2.280269743133206,39.969719908312555,319.97876922956357
2000-05-24,313.65,317.9,310.0,312.75,4041968,325.5,319.0737559229203,-1.015636445116968,1.6210885054831716,29.22684791774151,306.2495329958831
2000-05-25,312.3,317.8,311.1,312.8,2617268,323.2425,318.47625535883265,-1.3198624261848977,1.0328983191495578,30.23663453037112,321.21728931849844
2000-05-26,314.8,318.0,311.0,316.45,3504803,321.7825,318.28327865799145,-1.2520068566377631,0.5759172839920936,42.350557242972855,342.6471330487185
